booker,game_teams,game_time,log,team1,team2,url
bwin,"Philadelphia Phillies - Chicago Cubs Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:05",08/13/19 04:18 PM,2.1,1.75,https://www.oddsportal.com/baseball/usa/mlb/philadelphia-phillies-chicago-cubs-2c0Efmd6/
Coolbet,"Philadelphia Phillies - Chicago Cubs Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:05",08/13/19 04:18 PM,2.18,1.75,https://www.oddsportal.com/baseball/usa/mlb/philadelphia-phillies-chicago-cubs-2c0Efmd6/
Marathonbet,"Philadelphia Phillies - Chicago Cubs Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:05",08/13/19 04:18 PM,2.13,1.76,https://www.oddsportal.com/baseball/usa/mlb/philadelphia-phillies-chicago-cubs-2c0Efmd6/
Pinnacle,"Philadelphia Phillies - Chicago Cubs Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:05",08/13/19 04:18 PM,2.2,1.77,https://www.oddsportal.com/baseball/usa/mlb/philadelphia-phillies-chicago-cubs-2c0Efmd6/
Unibet,"Philadelphia Phillies - Chicago Cubs Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:05",08/13/19 04:18 PM,2.18,1.75,https://www.oddsportal.com/baseball/usa/mlb/philadelphia-phillies-chicago-cubs-2c0Efmd6/
best deal,"Philadelphia Phillies - Chicago Cubs Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:05",08/13/19 04:18 PM,2.2,1.78,https://www.oddsportal.com/baseball/usa/mlb/philadelphia-phillies-chicago-cubs-2c0Efmd6/
18bet,"Washington Nationals - Cincinnati Reds Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:05",08/13/19 04:18 PM,1.74,2.19,https://www.oddsportal.com/baseball/usa/mlb/washington-nationals-cincinnati-reds-zBbMhRQI/
1xBet,"Washington Nationals - Cincinnati Reds Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:05",08/13/19 04:18 PM,1.75,2.16,https://www.oddsportal.com/baseball/usa/mlb/washington-nationals-cincinnati-reds-zBbMhRQI/
Asianodds,"Washington Nationals - Cincinnati Reds Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:05",08/13/19 04:18 PM,1.76,2.21,https://www.oddsportal.com/baseball/usa/mlb/washington-nationals-cincinnati-reds-zBbMhRQI/
bet-at-home,"Washington Nationals - Cincinnati Reds Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:05",08/13/19 04:18 PM,1.69,2.14,https://www.oddsportal.com/baseball/usa/mlb/washington-nationals-cincinnati-reds-zBbMhRQI/
bet365,"Washington Nationals - Cincinnati Reds Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:05",08/13/19 04:18 PM,1.74,2.15,https://www.oddsportal.com/baseball/usa/mlb/washington-nationals-cincinnati-reds-zBbMhRQI/
Bethard,"Washington Nationals - Cincinnati Reds Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:05",08/13/19 04:18 PM,1.71,2.15,https://www.oddsportal.com/baseball/usa/mlb/washington-nationals-cincinnati-reds-zBbMhRQI/
bwin,"Washington Nationals - Cincinnati Reds Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:05",08/13/19 04:18 PM,1.75,2.1,https://www.oddsportal.com/baseball/usa/mlb/washington-nationals-cincinnati-reds-zBbMhRQI/
Coolbet,"Washington Nationals - Cincinnati Reds Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:05",08/13/19 04:18 PM,1.77,2.15,https://www.oddsportal.com/baseball/usa/mlb/washington-nationals-cincinnati-reds-zBbMhRQI/
Marathonbet,"Washington Nationals - Cincinnati Reds Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:05",08/13/19 04:18 PM,1.73,2.18,https://www.oddsportal.com/baseball/usa/mlb/washington-nationals-cincinnati-reds-zBbMhRQI/
Pinnacle,"Washington Nationals - Cincinnati Reds Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:05",08/13/19 04:18 PM,1.76,2.21,https://www.oddsportal.com/baseball/usa/mlb/washington-nationals-cincinnati-reds-zBbMhRQI/
Unibet,"Washington Nationals - Cincinnati Reds Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:05",08/13/19 04:18 PM,1.81,2.1,https://www.oddsportal.com/baseball/usa/mlb/washington-nationals-cincinnati-reds-zBbMhRQI/
best deal,"Washington Nationals - Cincinnati Reds Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:05",08/13/19 04:18 PM,1.81,2.21,https://www.oddsportal.com/baseball/usa/mlb/washington-nationals-cincinnati-reds-zBbMhRQI/
18bet,"Toronto Blue Jays - Texas Rangers Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:07",08/13/19 04:18 PM,2.19,1.74,https://www.oddsportal.com/baseball/usa/mlb/toronto-blue-jays-texas-rangers-r1V0a6IE/
1xBet,"Toronto Blue Jays - Texas Rangers Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:07",08/13/19 04:18 PM,2.14,1.76,https://www.oddsportal.com/baseball/usa/mlb/toronto-blue-jays-texas-rangers-r1V0a6IE/
Asianodds,"Toronto Blue Jays - Texas Rangers Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:07",08/13/19 04:18 PM,2.22,1.76,https://www.oddsportal.com/baseball/usa/mlb/toronto-blue-jays-texas-rangers-r1V0a6IE/
bet-at-home,"Toronto Blue Jays - Texas Rangers Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:07",08/13/19 04:18 PM,2.13,1.69,https://www.oddsportal.com/baseball/usa/mlb/toronto-blue-jays-texas-rangers-r1V0a6IE/
bet365,"Toronto Blue Jays - Texas Rangers Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:07",08/13/19 04:18 PM,2.15,1.74,https://www.oddsportal.com/baseball/usa/mlb/toronto-blue-jays-texas-rangers-r1V0a6IE/
Bethard,"Toronto Blue Jays - Texas Rangers Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:07",08/13/19 04:18 PM,2.15,1.71,https://www.oddsportal.com/baseball/usa/mlb/toronto-blue-jays-texas-rangers-r1V0a6IE/
