booker,game_teams,game_time,log,score,team1,team2,tie,url
Bethard,IN-PLAY ODDS: Metropolitanos - Trujillanos Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 05:13 PM,3:0,1.01,20.75,18.75,https://www.oddsportal.com/soccer/venezuela/primera-division/metropolitanos-trujillanos-UgZCxC9t/inplay-odds/
bwin,IN-PLAY ODDS: Metropolitanos - Trujillanos Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 05:13 PM,3:0,1.01,41.0,10.5,https://www.oddsportal.com/soccer/venezuela/primera-division/metropolitanos-trujillanos-UgZCxC9t/inplay-odds/
Coolbet,IN-PLAY ODDS: Metropolitanos - Trujillanos Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 05:13 PM,3:0,N/D,300.0,80.0,https://www.oddsportal.com/soccer/venezuela/primera-division/metropolitanos-trujillanos-UgZCxC9t/inplay-odds/
Marathonbet,IN-PLAY ODDS: Metropolitanos - Trujillanos Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 05:13 PM,3:0,1.01,35.0,14.75,https://www.oddsportal.com/soccer/venezuela/primera-division/metropolitanos-trujillanos-UgZCxC9t/inplay-odds/
Pinnacle,IN-PLAY ODDS: Metropolitanos - Trujillanos Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 05:13 PM,3:0,1.02,68.32,18.88,https://www.oddsportal.com/soccer/venezuela/primera-division/metropolitanos-trujillanos-UgZCxC9t/inplay-odds/
Unibet,IN-PLAY ODDS: Metropolitanos - Trujillanos Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 05:13 PM,3:0,N/D,376.0,67.0,https://www.oddsportal.com/soccer/venezuela/primera-division/metropolitanos-trujillanos-UgZCxC9t/inplay-odds/
best deal,IN-PLAY ODDS: Metropolitanos - Trujillanos Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 05:13 PM,3:0,1.03,68.32,80.0,https://www.oddsportal.com/soccer/venezuela/primera-division/metropolitanos-trujillanos-UgZCxC9t/inplay-odds/
18bet,"Metropolitanos - Trujillanos Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 05:13 PM,3:0,1.67,4.4,3.7,https://www.oddsportal.com/soccer/venezuela/primera-division/metropolitanos-trujillanos-UgZCxC9t/
1xBet,"Metropolitanos - Trujillanos Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 05:13 PM,3:0,1.70,4.82,3.84,https://www.oddsportal.com/soccer/venezuela/primera-division/metropolitanos-trujillanos-UgZCxC9t/
Asianodds,"Metropolitanos - Trujillanos Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 05:13 PM,3:0,1.71,5.08,3.72,https://www.oddsportal.com/soccer/venezuela/primera-division/metropolitanos-trujillanos-UgZCxC9t/
bet-at-home,"Metropolitanos - Trujillanos Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 05:13 PM,3:0,1.63,4.5,3.41,https://www.oddsportal.com/soccer/venezuela/primera-division/metropolitanos-trujillanos-UgZCxC9t/
Bethard,"Metropolitanos - Trujillanos Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 05:13 PM,3:0,1.63,4.55,3.6,https://www.oddsportal.com/soccer/venezuela/primera-division/metropolitanos-trujillanos-UgZCxC9t/
bwin,"Metropolitanos - Trujillanos Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 05:13 PM,3:0,1.75,4.1,3.4,https://www.oddsportal.com/soccer/venezuela/primera-division/metropolitanos-trujillanos-UgZCxC9t/
Coolbet,"Metropolitanos - Trujillanos Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 05:13 PM,3:0,1.70,4.75,3.6,https://www.oddsportal.com/soccer/venezuela/primera-division/metropolitanos-trujillanos-UgZCxC9t/
Marathonbet,"Metropolitanos - Trujillanos Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 05:13 PM,3:0,1.66,5.1,3.85,https://www.oddsportal.com/soccer/venezuela/primera-division/metropolitanos-trujillanos-UgZCxC9t/
Pinnacle,"Metropolitanos - Trujillanos Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 05:13 PM,3:0,1.66,5.08,3.72,https://www.oddsportal.com/soccer/venezuela/primera-division/metropolitanos-trujillanos-UgZCxC9t/
Unibet,"Metropolitanos - Trujillanos Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 05:13 PM,3:0,1.60,4.4,3.5,https://www.oddsportal.com/soccer/venezuela/primera-division/metropolitanos-trujillanos-UgZCxC9t/
best deal,"Metropolitanos - Trujillanos Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 05:13 PM,3:0,1.75,5.1,3.85,https://www.oddsportal.com/soccer/venezuela/primera-division/metropolitanos-trujillanos-UgZCxC9t/
18bet,IN-PLAY ODDS: Portuguesa - Carabobo Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 05:13 PM,0:1,18.00,1.17,5.25,https://www.oddsportal.com/soccer/venezuela/primera-division/portuguesa-carabobo-Spmosh1P/inplay-odds/
1xBet,IN-PLAY ODDS: Portuguesa - Carabobo Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 05:13 PM,0:1,12.50,1.22,5.8,https://www.oddsportal.com/soccer/venezuela/primera-division/portuguesa-carabobo-Spmosh1P/inplay-odds/
Asianodds,IN-PLAY ODDS: Portuguesa - Carabobo Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 05:13 PM,0:1,19.00,1.19,5.3,https://www.oddsportal.com/soccer/venezuela/primera-division/portuguesa-carabobo-Spmosh1P/inplay-odds/
bet-at-home,IN-PLAY ODDS: Portuguesa - Carabobo Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 05:13 PM,0:1,27.00,1.15,5.3,https://www.oddsportal.com/soccer/venezuela/primera-division/portuguesa-carabobo-Spmosh1P/inplay-odds/
Bethard,IN-PLAY ODDS: Portuguesa - Carabobo Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 05:13 PM,0:1,16.75,1.14,5.5,https://www.oddsportal.com/soccer/venezuela/primera-division/portuguesa-carabobo-Spmosh1P/inplay-odds/
bwin,IN-PLAY ODDS: Portuguesa - Carabobo Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 05:13 PM,0:1,17.50,1.15,5.5,https://www.oddsportal.com/soccer/venezuela/primera-division/portuguesa-carabobo-Spmosh1P/inplay-odds/
Coolbet,IN-PLAY ODDS: Portuguesa - Carabobo Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 05:13 PM,0:1,4.50,2.3,2.2,https://www.oddsportal.com/soccer/venezuela/primera-division/portuguesa-carabobo-Spmosh1P/inplay-odds/
Marathonbet,IN-PLAY ODDS: Portuguesa - Carabobo Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 05:13 PM,0:1,4.90,2.25,2.28,https://www.oddsportal.com/soccer/venezuela/primera-division/portuguesa-carabobo-Spmosh1P/inplay-odds/
Unibet,IN-PLAY ODDS: Portuguesa - Carabobo Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 05:13 PM,0:1,18.00,1.17,5.6,https://www.oddsportal.com/soccer/venezuela/primera-division/portuguesa-carabobo-Spmosh1P/inplay-odds/
best deal,IN-PLAY ODDS: Portuguesa - Carabobo Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 05:13 PM,0:1,4.90,2.3,5.8,https://www.oddsportal.com/soccer/venezuela/primera-division/portuguesa-carabobo-Spmosh1P/inplay-odds/
18bet,"Portuguesa - Carabobo Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 05:13 PM,0:0,2.25,3.1,3.05,https://www.oddsportal.com/soccer/venezuela/primera-division/portuguesa-carabobo-Spmosh1P/
1xBet,"Portuguesa - Carabobo Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 05:13 PM,0:0,2.26,3.52,3.02,https://www.oddsportal.com/soccer/venezuela/primera-division/portuguesa-carabobo-Spmosh1P/
Asianodds,"Portuguesa - Carabobo Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 05:13 PM,0:0,2.41,3.25,3.02,https://www.oddsportal.com/soccer/venezuela/primera-division/portuguesa-carabobo-Spmosh1P/
bet-at-home,"Portuguesa - Carabobo Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 05:13 PM,0:0,2.23,3.02,2.85,https://www.oddsportal.com/soccer/venezuela/primera-division/portuguesa-carabobo-Spmosh1P/
Bethard,"Portuguesa - Carabobo Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 05:13 PM,0:0,2.25,3.0,2.95,https://www.oddsportal.com/soccer/venezuela/primera-division/portuguesa-carabobo-Spmosh1P/
bwin,"Portuguesa - Carabobo Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 05:13 PM,0:0,2.25,2.9,3.1,https://www.oddsportal.com/soccer/venezuela/primera-division/portuguesa-carabobo-Spmosh1P/
Coolbet,"Portuguesa - Carabobo Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 05:13 PM,0:0,2.35,3.1,3.0,https://www.oddsportal.com/soccer/venezuela/primera-division/portuguesa-carabobo-Spmosh1P/
Marathonbet,"Portuguesa - Carabobo Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 05:13 PM,0:0,2.20,3.44,3.2,https://www.oddsportal.com/soccer/venezuela/primera-division/portuguesa-carabobo-Spmosh1P/
Pinnacle,"Portuguesa - Carabobo Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 05:13 PM,0:0,2.41,3.18,3.02,https://www.oddsportal.com/soccer/venezuela/primera-division/portuguesa-carabobo-Spmosh1P/
Unibet,"Portuguesa - Carabobo Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 05:13 PM,0:0,2.23,3.3,2.6,https://www.oddsportal.com/soccer/venezuela/primera-division/portuguesa-carabobo-Spmosh1P/
best deal,"Portuguesa - Carabobo Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 05:13 PM,0:0,2.41,3.52,3.2,https://www.oddsportal.com/soccer/venezuela/primera-division/portuguesa-carabobo-Spmosh1P/
18bet,IN-PLAY ODDS: Aragua - Caracas Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 21:00",08/14/19 05:13 PM,0:0,2.55,2.5,3.1,https://www.oddsportal.com/soccer/venezuela/primera-division/aragua-caracas-QecQXmOB/inplay-odds/
1xBet,IN-PLAY ODDS: Aragua - Caracas Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 21:00",08/14/19 05:13 PM,0:0,2.56,2.56,3.48,https://www.oddsportal.com/soccer/venezuela/primera-division/aragua-caracas-QecQXmOB/inplay-odds/
Asianodds,IN-PLAY ODDS: Aragua - Caracas Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 21:00",08/14/19 05:13 PM,0:0,2.65,2.55,3.1,https://www.oddsportal.com/soccer/venezuela/primera-division/aragua-caracas-QecQXmOB/inplay-odds/
bet-at-home,IN-PLAY ODDS: Aragua - Caracas Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 21:00",08/14/19 05:13 PM,0:0,2.66,2.52,3.05,https://www.oddsportal.com/soccer/venezuela/primera-division/aragua-caracas-QecQXmOB/inplay-odds/
Bethard,IN-PLAY ODDS: Aragua - Caracas Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 21:00",08/14/19 05:13 PM,0:0,2.80,2.5,2.7,https://www.oddsportal.com/soccer/venezuela/primera-division/aragua-caracas-QecQXmOB/inplay-odds/
bwin,IN-PLAY ODDS: Aragua - Caracas Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 21:00",08/14/19 05:13 PM,0:0,2.95,2.45,2.75,https://www.oddsportal.com/soccer/venezuela/primera-division/aragua-caracas-QecQXmOB/inplay-odds/
Coolbet,IN-PLAY ODDS: Aragua - Caracas Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 21:00",08/14/19 05:13 PM,0:0,2.75,2.6,2.88,https://www.oddsportal.com/soccer/venezuela/primera-division/aragua-caracas-QecQXmOB/inplay-odds/
Marathonbet,IN-PLAY ODDS: Aragua - Caracas Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 21:00",08/14/19 05:13 PM,0:0,2.74,2.58,3.13,https://www.oddsportal.com/soccer/venezuela/primera-division/aragua-caracas-QecQXmOB/inplay-odds/
Unibet,IN-PLAY ODDS: Aragua - Caracas Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 21:00",08/14/19 05:13 PM,0:0,2.60,2.55,3.3,https://www.oddsportal.com/soccer/venezuela/primera-division/aragua-caracas-QecQXmOB/inplay-odds/
best deal,IN-PLAY ODDS: Aragua - Caracas Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 21:00",08/14/19 05:13 PM,0:0,2.95,2.6,3.48,https://www.oddsportal.com/soccer/venezuela/primera-division/aragua-caracas-QecQXmOB/inplay-odds/
18bet,"Aragua - Caracas Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 21:00",08/14/19 05:13 PM,0:0,2.60,2.65,3.05,https://www.oddsportal.com/soccer/venezuela/primera-division/aragua-caracas-QecQXmOB/
1xBet,"Aragua - Caracas Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 21:00",08/14/19 05:13 PM,0:0,2.78,2.7,3.08,https://www.oddsportal.com/soccer/venezuela/primera-division/aragua-caracas-QecQXmOB/
Asianodds,"Aragua - Caracas Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 21:00",08/14/19 05:13 PM,0:0,2.85,2.73,3.05,https://www.oddsportal.com/soccer/venezuela/primera-division/aragua-caracas-QecQXmOB/
bet-at-home,"Aragua - Caracas Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 21:00",08/14/19 05:13 PM,0:0,2.55,2.35,3.2,https://www.oddsportal.com/soccer/venezuela/primera-division/aragua-caracas-QecQXmOB/
Bethard,"Aragua - Caracas Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 21:00",08/14/19 05:13 PM,0:0,2.65,2.6,2.9,https://www.oddsportal.com/soccer/venezuela/primera-division/aragua-caracas-QecQXmOB/
bwin,"Aragua - Caracas Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 21:00",08/14/19 05:13 PM,0:0,2.65,2.65,2.85,https://www.oddsportal.com/soccer/venezuela/primera-division/aragua-caracas-QecQXmOB/
Coolbet,"Aragua - Caracas Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 21:00",08/14/19 05:13 PM,0:0,2.70,2.65,3.0,https://www.oddsportal.com/soccer/venezuela/primera-division/aragua-caracas-QecQXmOB/
Marathonbet,"Aragua - Caracas Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 21:00",08/14/19 05:13 PM,0:0,2.75,2.67,3.13,https://www.oddsportal.com/soccer/venezuela/primera-division/aragua-caracas-QecQXmOB/
Pinnacle,"Aragua - Caracas Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 21:00",08/14/19 05:13 PM,0:0,2.85,2.73,2.91,https://www.oddsportal.com/soccer/venezuela/primera-division/aragua-caracas-QecQXmOB/
Unibet,"Aragua - Caracas Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 21:00",08/14/19 05:13 PM,0:0,2.60,2.4,3.0,https://www.oddsportal.com/soccer/venezuela/primera-division/aragua-caracas-QecQXmOB/
best deal,"Aragua - Caracas Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 21:00",08/14/19 05:13 PM,0:0,2.85,2.73,3.2,https://www.oddsportal.com/soccer/venezuela/primera-division/aragua-caracas-QecQXmOB/
18bet,IN-PLAY ODDS: Zamora - Monagas Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 21:00",08/14/19 05:13 PM,0:0,1.84,4.2,3.1,https://www.oddsportal.com/soccer/venezuela/primera-division/zamora-monagas-QLSLzjvg/inplay-odds/
1xBet,IN-PLAY ODDS: Zamora - Monagas Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 21:00",08/14/19 05:13 PM,0:0,1.89,4.12,3.34,https://www.oddsportal.com/soccer/venezuela/primera-division/zamora-monagas-QLSLzjvg/inplay-odds/
Asianodds,IN-PLAY ODDS: Zamora - Monagas Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 21:00",08/14/19 05:13 PM,0:0,1.86,4.2,3.05,https://www.oddsportal.com/soccer/venezuela/primera-division/zamora-monagas-QLSLzjvg/inplay-odds/
bet-at-home,IN-PLAY ODDS: Zamora - Monagas Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 21:00",08/14/19 05:13 PM,0:0,1.82,4.2,3.2,https://www.oddsportal.com/soccer/venezuela/primera-division/zamora-monagas-QLSLzjvg/inplay-odds/
Bethard,IN-PLAY ODDS: Zamora - Monagas Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 21:00",08/14/19 05:13 PM,0:0,1.80,4.1,3.05,https://www.oddsportal.com/soccer/venezuela/primera-division/zamora-monagas-QLSLzjvg/inplay-odds/
bwin,IN-PLAY ODDS: Zamora - Monagas Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 21:00",08/14/19 05:13 PM,0:0,1.83,4.2,3.1,https://www.oddsportal.com/soccer/venezuela/primera-division/zamora-monagas-QLSLzjvg/inplay-odds/
Coolbet,IN-PLAY ODDS: Zamora - Monagas Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 21:00",08/14/19 05:13 PM,0:0,1.85,4.33,3.0,https://www.oddsportal.com/soccer/venezuela/primera-division/zamora-monagas-QLSLzjvg/inplay-odds/
Marathonbet,IN-PLAY ODDS: Zamora - Monagas Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 21:00",08/14/19 05:13 PM,0:0,1.79,4.45,3.3,https://www.oddsportal.com/soccer/venezuela/primera-division/zamora-monagas-QLSLzjvg/inplay-odds/
Unibet,IN-PLAY ODDS: Zamora - Monagas Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 21:00",08/14/19 05:13 PM,0:0,1.86,4.25,3.2,https://www.oddsportal.com/soccer/venezuela/primera-division/zamora-monagas-QLSLzjvg/inplay-odds/
best deal,IN-PLAY ODDS: Zamora - Monagas Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 21:00",08/14/19 05:13 PM,0:0,1.89,4.45,3.34,https://www.oddsportal.com/soccer/venezuela/primera-division/zamora-monagas-QLSLzjvg/inplay-odds/
18bet,"Zamora - Monagas Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 21:00",08/14/19 05:13 PM,0:0,1.82,4.0,3.3,https://www.oddsportal.com/soccer/venezuela/primera-division/zamora-monagas-QLSLzjvg/
1xBet,"Zamora - Monagas Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 21:00",08/14/19 05:13 PM,0:0,1.81,4.34,3.64,https://www.oddsportal.com/soccer/venezuela/primera-division/zamora-monagas-QLSLzjvg/
Asianodds,"Zamora - Monagas Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 21:00",08/14/19 05:13 PM,0:0,1.86,4.56,3.49,https://www.oddsportal.com/soccer/venezuela/primera-division/zamora-monagas-QLSLzjvg/
bet-at-home,"Zamora - Monagas Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 21:00",08/14/19 05:13 PM,0:0,1.77,3.96,3.22,https://www.oddsportal.com/soccer/venezuela/primera-division/zamora-monagas-QLSLzjvg/
Bethard,"Zamora - Monagas Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 21:00",08/14/19 05:13 PM,0:0,1.74,4.2,3.3,https://www.oddsportal.com/soccer/venezuela/primera-division/zamora-monagas-QLSLzjvg/
bwin,"Zamora - Monagas Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 21:00",08/14/19 05:13 PM,0:0,1.80,4.0,3.25,https://www.oddsportal.com/soccer/venezuela/primera-division/zamora-monagas-QLSLzjvg/
Coolbet,"Zamora - Monagas Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 21:00",08/14/19 05:13 PM,0:0,1.82,4.2,3.4,https://www.oddsportal.com/soccer/venezuela/primera-division/zamora-monagas-QLSLzjvg/
Marathonbet,"Zamora - Monagas Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 21:00",08/14/19 05:13 PM,0:0,1.80,4.4,3.62,https://www.oddsportal.com/soccer/venezuela/primera-division/zamora-monagas-QLSLzjvg/
Pinnacle,"Zamora - Monagas Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 21:00",08/14/19 05:13 PM,0:0,1.79,4.56,3.49,https://www.oddsportal.com/soccer/venezuela/primera-division/zamora-monagas-QLSLzjvg/
Unibet,"Zamora - Monagas Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 21:00",08/14/19 05:13 PM,0:0,1.70,4.2,3.3,https://www.oddsportal.com/soccer/venezuela/primera-division/zamora-monagas-QLSLzjvg/
best deal,"Zamora - Monagas Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 21:00",08/14/19 05:13 PM,0:0,1.86,4.56,3.64,https://www.oddsportal.com/soccer/venezuela/primera-division/zamora-monagas-QLSLzjvg/
18bet,IN-PLAY ODDS: AC Lala FC - Estudiantes Caracas Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 05:19 PM,2:2,2.90,3.3,2.15,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/inplay-odds/
1xBet,IN-PLAY ODDS: AC Lala FC - Estudiantes Caracas Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 05:19 PM,2:2,3.07,3.32,2.25,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/inplay-odds/
Asianodds,IN-PLAY ODDS: AC Lala FC - Estudiantes Caracas Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 05:19 PM,2:2,2.90,3.35,2.15,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/inplay-odds/
Bethard,IN-PLAY ODDS: AC Lala FC - Estudiantes Caracas Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 05:19 PM,2:2,2.80,3.45,2.1,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/inplay-odds/
bwin,IN-PLAY ODDS: AC Lala FC - Estudiantes Caracas Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 05:19 PM,2:2,2.85,3.5,2.1,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/inplay-odds/
Coolbet,IN-PLAY ODDS: AC Lala FC - Estudiantes Caracas Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 05:19 PM,2:2,3.00,3.5,2.1,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/inplay-odds/
Marathonbet,IN-PLAY ODDS: AC Lala FC - Estudiantes Caracas Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 05:19 PM,2:2,2.90,3.36,2.25,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/inplay-odds/
Pinnacle,IN-PLAY ODDS: AC Lala FC - Estudiantes Caracas Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 05:19 PM,2:2,17.70,1.11,8.32,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/inplay-odds/
Unibet,IN-PLAY ODDS: AC Lala FC - Estudiantes Caracas Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 05:19 PM,2:2,2.75,3.45,2.35,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/inplay-odds/
best deal,IN-PLAY ODDS: AC Lala FC - Estudiantes Caracas Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 05:19 PM,2:2,3.07,3.5,8.32,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/inplay-odds/
18bet,"AC Lala FC - Estudiantes Caracas Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 05:19 PM,2:2,2.50,2.65,3.25,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/
1xBet,"AC Lala FC - Estudiantes Caracas Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 05:19 PM,2:2,2.59,2.66,3.38,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/
Asianodds,"AC Lala FC - Estudiantes Caracas Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 05:19 PM,2:2,2.57,2.72,3.35,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/
bet-at-home,"AC Lala FC - Estudiantes Caracas Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 05:19 PM,2:2,2.42,2.48,3.18,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/
Bethard,"AC Lala FC - Estudiantes Caracas Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 05:19 PM,2:2,2.45,2.55,3.2,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/
bwin,"AC Lala FC - Estudiantes Caracas Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 05:19 PM,2:2,2.50,2.5,3.2,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/
Coolbet,"AC Lala FC - Estudiantes Caracas Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 05:19 PM,2:2,2.50,2.65,3.3,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/
Marathonbet,"AC Lala FC - Estudiantes Caracas Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 05:19 PM,2:2,2.56,2.68,3.4,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/
Pinnacle,"AC Lala FC - Estudiantes Caracas Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 05:19 PM,2:2,2.57,2.68,3.35,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/
