booker,game_teams,game_time,log,score,team1,team2,tie,url
Unibet,IN-PLAY ODDS: Lara - Mineros Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:27 PM,1:0,1.43,6.4,4.2,https://www.oddsportal.com/soccer/venezuela/primera-division/lara-mineros-KrSPZ9ga/inplay-odds/
best deal,IN-PLAY ODDS: Lara - Mineros Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:27 PM,1:0,1.48,8.37,4.55,https://www.oddsportal.com/soccer/venezuela/primera-division/lara-mineros-KrSPZ9ga/inplay-odds/
18bet,"Lara - Mineros Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:27 PM,1:0,2.3,3.1,3.05,https://www.oddsportal.com/soccer/venezuela/primera-division/lara-mineros-KrSPZ9ga/
1xBet,"Lara - Mineros Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:27 PM,1:0,2.23,3.2,3.36,https://www.oddsportal.com/soccer/venezuela/primera-division/lara-mineros-KrSPZ9ga/
Asianodds,"Lara - Mineros Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:27 PM,1:0,2.32,3.44,3.0,https://www.oddsportal.com/soccer/venezuela/primera-division/lara-mineros-KrSPZ9ga/
bet-at-home,"Lara - Mineros Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:27 PM,1:0,2.19,2.97,2.98,https://www.oddsportal.com/soccer/venezuela/primera-division/lara-mineros-KrSPZ9ga/
Bethard,"Lara - Mineros Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:27 PM,1:0,2.25,3.1,2.9,https://www.oddsportal.com/soccer/venezuela/primera-division/lara-mineros-KrSPZ9ga/
bwin,"Lara - Mineros Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:27 PM,1:0,2.25,2.8,3.2,https://www.oddsportal.com/soccer/venezuela/primera-division/lara-mineros-KrSPZ9ga/
Coolbet,"Lara - Mineros Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:27 PM,1:0,2.3,3.1,3.1,https://www.oddsportal.com/soccer/venezuela/primera-division/lara-mineros-KrSPZ9ga/
Marathonbet,"Lara - Mineros Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:27 PM,1:0,2.24,3.2,3.34,https://www.oddsportal.com/soccer/venezuela/primera-division/lara-mineros-KrSPZ9ga/
Pinnacle,"Lara - Mineros Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:27 PM,1:0,2.32,3.44,2.94,https://www.oddsportal.com/soccer/venezuela/primera-division/lara-mineros-KrSPZ9ga/
Unibet,"Lara - Mineros Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:27 PM,1:0,2.2,3.1,2.75,https://www.oddsportal.com/soccer/venezuela/primera-division/lara-mineros-KrSPZ9ga/
best deal,"Lara - Mineros Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:27 PM,1:0,2.32,3.44,3.36,https://www.oddsportal.com/soccer/venezuela/primera-division/lara-mineros-KrSPZ9ga/
18bet,IN-PLAY ODDS: Metropolitanos - Trujillanos Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:27 PM,2:0,1.02,30.0,11.0,https://www.oddsportal.com/soccer/venezuela/primera-division/metropolitanos-trujillanos-UgZCxC9t/inplay-odds/
1xBet,IN-PLAY ODDS: Metropolitanos - Trujillanos Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:27 PM,2:0,1.04,23.0,14.5,https://www.oddsportal.com/soccer/venezuela/primera-division/metropolitanos-trujillanos-UgZCxC9t/inplay-odds/
Asianodds,IN-PLAY ODDS: Metropolitanos - Trujillanos Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:27 PM,2:0,1.02,56.77,18.03,https://www.oddsportal.com/soccer/venezuela/primera-division/metropolitanos-trujillanos-UgZCxC9t/inplay-odds/
bet-at-home,IN-PLAY ODDS: Metropolitanos - Trujillanos Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:27 PM,2:0,1.03,50.0,16.5,https://www.oddsportal.com/soccer/venezuela/primera-division/metropolitanos-trujillanos-UgZCxC9t/inplay-odds/
Bethard,IN-PLAY ODDS: Metropolitanos - Trujillanos Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:27 PM,2:0,1.01,31.5,10.5,https://www.oddsportal.com/soccer/venezuela/primera-division/metropolitanos-trujillanos-UgZCxC9t/inplay-odds/
